id,category,subcategory,subcategory_display,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,time_limit,related_topics,source
1,analytical_problem_solving,財務・会計分析,財務・ファイナンス,ROE（自己資本利益率）が15%の企業について、最も適切な解釈は？,売上高が業界平均より高い,自己資本を効率的に活用して利益を創出している,従業員数が適正規模である,設立年数が長く安定している,自己資本を効率的に活用して利益を創出している,ROE = 当期純利益 ÷ 自己資本 × 100で計算されます。15%は一般的に良好な数値で、投下した自己資本に対して効率的に利益を生み出していることを示しています。,中級,45,"ROA, 財務レバレッジ, 収益性分析",日本公認会計士協会 財務分析ガイドライン
2,analytical_problem_solving,論理的思考・分析,論理的思考・問題解決,3C分析のフレームワークを構成する3つの要素として正しい組み合わせは？,Cost（コスト）、Channel（チャネル）、Campaign（キャンペーン）,Customer（顧客）、Competitor（競合）、Company（自社）,Culture（文化）、Climate（環境）、Capacity（能力）,Capital（資本）、Communication（伝達）、Control（統制）,Customer（顧客）、Competitor（競合）、Company（自社）,3C分析は、Customer（顧客）、Competitor（競合）、Company（自社）の3つの視点から事業環境を分析する代表的な戦略フレームワークです。顧客ニーズ、競合状況、自社の強みを包括的に分析することで効果的な戦略立案が可能になります。,基礎,30,"SWOT分析, 5Forces, 戦略立案",マッキンゼー戦略フレームワーク集
3,communication_presentation,セールス・マーケティング,マーケティング・営業,顧客生涯価値（LTV）を向上させる最も効果的な施策の組み合わせは？,新規顧客獲得のみに注力,客単価向上と継続率向上の両方,広告費の大幅削減,商品価格の値下げ,客単価向上と継続率向上の両方,LTV = 客単価 × 購買頻度 × 継続期間で算出されます。客単価と継続率の向上により、既存顧客からの収益を最大化できます。,中級,40,"CAC, チャーンレート, リテンション戦略",デジタルマーケティング実践ガイド
4,leadership_management,プロジェクトマネジメント,プロジェクト・業務管理,プロジェクトで発生した予期しない技術的課題への最適な対応は？,課題を無視して進行,スケジュール調整と代替案検討,プロジェクト即座中止,担当者のみで解決,スケジュール調整と代替案検討,技術的課題が発生した場合、まず影響度を評価し、スケジュール調整や代替案を検討することが重要です。ステークホルダーとの早期共有も必要です。,中級,50,"リスクアセスメント, ステークホルダー管理, 変更管理",PMI プロジェクト管理標準
5,analytical_problem_solving,論理的思考・分析,論理的思考・問題解決,相関係数0.8が示す関係性について正しいのは？,弱い正の相関,強い正の相関,因果関係が確定,データに誤りがある,強い正の相関,相関係数0.8は強い正の相関を示します（一般的に0.7以上が強い相関）。ただし、相関関係と因果関係は異なることに注意が必要です。,中級,35,"回帰分析, 統計的有意性, データ解釈",統計学実践ハンドブック
6,leadership_management,チーム運営・人材育成,チームマネジメント・モチベーション,チームのモチベーション向上に最も効果的なアプローチは？,報酬額の大幅増額のみ,目標設定と成長機会の提供,監視体制の強化,競争環境の徹底,目標設定と成長機会の提供,内発的動機を高める目標設定と成長機会の提供が、持続的なモチベーション向上に最も効果的です。単純な金銭的報酬だけでは長期的な効果は限定的です。,中級,40,"動機理論, 目標設定理論, チームビルディング",ハーバードビジネスレビュー リーダーシップ論集
7,innovation_creativity,イノベーション手法,イノベーション手法,デザイン思考のプロセスで最初に行うべきステップは？,プロトタイプの作成,ユーザーニーズの共感的理解,アイデアの発散思考,市場分析とベンチマーク,ユーザーニーズの共感的理解,デザイン思考では「共感（Empathize）」が最初のステップです。ユーザーの視点に立ち、真のニーズや課題を深く理解することから始まります。,基礎,35,"人間中心設計, ユーザーリサーチ, ペルソナ設計",スタンフォード大学 d.school デザイン思考ガイド
8,digital_technology,DX・IT戦略,DX・IT戦略,企業のデジタル変革（DX）を成功させるための最重要要素は？,最新技術の全面導入,組織文化とマインドセットの変革,IT予算の大幅増額,外部コンサルタントへの委託,組織文化とマインドセットの変革,DXの成功には技術導入以上に、組織全体のマインドセット変革と変化を受け入れる文化の醸成が不可欠です。人的要素が最も重要な成功要因となります。,上級,45,"変更管理, 組織開発, デジタルリテラシー",経済産業省 DXレポート2.0
9,business_strategy,事業戦略・企画,事業戦略・企画,ESG経営において「E（環境）」「S（社会）」「G（ガバナンス）」のバランスを取る際の基本的な考え方は？,環境要素を最優先に考慮する,短期的利益を重視してバランスを調整,ステークホルダーの期待に応じて統合的に推進,法的要求事項のみに対応する,ステークホルダーの期待に応じて統合的に推進,ESG経営では、投資家、従業員、顧客、地域社会などの多様なステークホルダーの期待を理解し、E・S・Gの各要素を統合的に推進することが重要です。,上級,50,"ステークホルダー資本主義, SDGs, 統合報告書",日本取引所グループ ESG情報開示実践ハンドブック
10,leadership_management,組織開発・変革,組織開発・変革,アジャイル組織の特徴として最も適切でないものは？,階層的な意思決定構造の維持,迅速な意思決定と実行力,顧客価値創造への集中,学習と適応の文化,階層的な意思決定構造の維持,アジャイル組織では階層的な意思決定構造ではなく、権限委譲と分散型の意思決定が重視されます。迅速性と柔軟性を確保するため、フラットな組織構造が基本となります。,中級,40,"権限委譲, 自律型チーム, スクラム経営",ハーバードビジネスレビュー アジャイル組織論
