レベル,カテゴリ,サブカテゴリ,学習項目,説明,スキル1,スキル2,スキル3,スキル4
基礎レベル,話す技術,結論ファースト,結論から話す,相手の時間を尊重し効率的なコミュニケーションを実現,結論ファースト,要点整理,簡潔な表現,論理的構成
基礎レベル,話す技術,構造化コミュニケーション,PREP法の活用,Point（結論）→ Reason（理由）→ Example（具体例）→ Point（結論）,構造化思考,説得力向上,わかりやすい説明,聞き手への配慮
基礎レベル,話す技術,ファクトベース,数字とファクトで語る,感情ではなく事実に基づいた客観的なコミュニケーション,データドリブン,客観性,説得力,信頼性構築
基礎レベル,話す技術,期待値コントロール,期待値管理とコミュニケーション,相手の期待を正確に把握し常に期待値以上の成果を提供,期待値設定,進捗報告,リスクコミュニケーション,品質管理
基礎レベル,思考術,問題構造化,ロジックツリーの構築と活用,複雑な問題を体系的に分解し漏れなく重複なく整理する技術,MECE,構造化,問題分解,全体把握
基礎レベル,思考術,仮説検証,仮説思考と検証プロセス,限られた情報から仮説を立て効率的に検証する思考法,仮説立案,検証設計,意思決定速度,リサーチ効率化
基礎レベル,思考術,論理整理,MECEと網羅性の確保,Mutually Exclusive Collectively Exhaustive - 重複なく漏れなく,分類技術,網羅性確保,重複排除,論理的整理
基礎レベル,思考術,本質追求,本質追求と深掘り思考,表面的な現象ではなく根本原因を追求する思考習慣,Why思考,根本原因分析,本質理解,深掘り技術
基礎レベル,デスクワーク,会議管理,議事録作成マスタリー,会議の価値を最大化し行動につながる議事録の作成技術,要点抽出,アクションアイテム,決定事項整理,次回準備
基礎レベル,デスクワーク,資料作成,PowerPoint資料作成術,ワンスライド・ワンメッセージで伝わる資料作成,ストーリー設計,ビジュアル化,レイアウト,フォント選択
基礎レベル,デスクワーク,データ処理,Excel高速化テクニック,データ分析と資料作成を効率化するExcel活用法,ショートカット,関数活用,ピボットテーブル,マクロ基礎
基礎レベル,デスクワーク,時間管理,重点思考と優先順位設定,限られた時間で最大の成果を出すための時間管理術,優先順位,時間配分,捨てる技術,集中力向上
基礎レベル,マインド,価値創出,バリュー創出意識,常にクライアントと組織に価値を提供する意識の醸成,価値定義,成果志向,改善意識,貢献マインド
基礎レベル,マインド,実行力,コミットメント力の強化,約束を守り責任を持って成果を出す力,責任感,実行力,粘り強さ,信頼関係構築
基礎レベル,マインド,協働力,チームワークとフォロワーシップ,チーム全体の成果を最大化するための協働スキル,協調性,支援力,コミュニケーション,役割理解
基礎レベル,マインド,学習姿勢,師匠・メンター関係の構築,継続的な学習と成長のための人間関係構築,学習姿勢,フィードバック受容,ネットワーキング,成長意欲
実用レベル,PM・提案,提案設計,RFP対応とプロポーザル作成,クライアントの要求を的確に理解し魅力的な提案を作成,要求分析,提案設計,差別化戦略,プレゼン技術
実用レベル,PM・提案,プロジェクト計画,プロジェクト設計とWBS作成,成果を確実に出すためのプロジェクト計画立案,WBS作成,スケジューリング,リソース配分,マイルストーン設定
実用レベル,PM・提案,リスク管理,リスク分析と対応策,プロジェクトリスクを事前に特定し適切な対応策を準備,リスク特定,影響度評価,対応策立案,コンティンジェンシー
実用レベル,PM・提案,ステークホルダー管理,関係者調整とコミュニケーション,多様なステークホルダーとの良好な関係構築と調整,関係者分析,コミュニケーション計画,合意形成,期待値調整
実用レベル,課題解決,定量分析,統計分析と回帰分析,データを用いた客観的な現状把握と予測,統計手法,回帰分析,相関分析,有意性検定
実用レベル,課題解決,ベンチマーキング,業界比較と競合分析,他社事例との比較により改善の方向性を特定,競合分析,ベストプラクティス,ギャップ分析,改善機会特定
実用レベル,課題解決,ソリューション開発,課題解決策の設計と評価,根本的な解決策を設計し実行可能性を評価,解決策設計,実行可能性評価,コスト効果分析,実装計画
実用レベル,課題解決,効果測定,KPI設計と成果評価,施策の効果を定量的に測定し継続的改善を実現,KPI設計,測定手法,効果検証,改善サイクル
実用レベル,DX・技術,DX戦略,デジタル変革戦略の策定,企業のデジタル変革を包括的に計画し実行,DX戦略,変革マネジメント,技術選定,ROI評価
実用レベル,DX・技術,AI活用,人工知能の業務適用,AIを活用した業務効率化と新価値創出,AI基礎知識,業務適用,効果測定,倫理的配慮
実用レベル,DX・技術,IoT導入,IoTシステムの企画と導入,モノのインターネット化による新たなビジネスモデル構築,IoT基礎,システム設計,データ活用,セキュリティ
実用レベル,DX・技術,データ活用,データドリブン経営の実現,データを基盤とした意思決定システムの構築,データ分析,可視化,意思決定支援,データガバナンス
実用レベル,トレンド,ESG経営,持続可能な経営戦略,環境・社会・ガバナンスを重視した経営の実践,ESG評価,サステナビリティ,リスクマネジメント,ステークホルダー価値
実用レベル,トレンド,SDGs実践,SDGsを軸とした事業戦略,持続可能な開発目標と事業戦略の統合,SDGs理解,事業機会特定,インパクト測定,パートナーシップ
実用レベル,トレンド,グローバル戦略,国際ビジネス展開,グローバル市場での競争力強化と事業拡大,市場分析,文化適応,リスク管理,現地化戦略
実用レベル,トレンド,脱炭素経営,カーボンニュートラル戦略,脱炭素社会に向けた事業変革と競争力強化,排出量測定,削減計画,技術導入,サプライチェーン対応
エキスパートレベル,ソートリーダー,方法論開発,独自フレームワークの開発,業界をリードする独自の方法論とフレームワークの構築,理論構築,実証研究,標準化,知的財産
エキスパートレベル,ソートリーダー,知識発信,業界白書・レポート執筆,業界の動向と将来展望を分析した権威ある文書の作成,市場調査,トレンド分析,予測モデル,文書作成
エキスパートレベル,ソートリーダー,学術貢献,学会発表・論文執筆,学術界への貢献と専門知識の体系化,研究手法,統計分析,論文執筆,査読対応
エキスパートレベル,ソートリーダー,影響力拡大,メディア露出・講演活動,業界への影響力拡大と認知度向上,プレゼンテーション,メディア対応,ブランディング,ネットワーキング
エキスパートレベル,イノベーション,新サービス開発,革新的ソリューションの創出,市場にインパクトを与える新しいサービスと価値の創造,アイデア創出,プロトタイピング,市場検証,商業化
エキスパートレベル,イノベーション,ベンチャー支援,スタートアップ育成とエコシステム構築,新興企業の成長支援と産業エコシステムの発展,投資評価,メンタリング,ネットワーク構築,成長戦略
